aperture,mean_nrmse_p5,std_nrmse_p5,mean_nrmse_p10,std_nrmse_p10
1.0,0.35391153381985213,0.0,0.42642548917054557,0.0
2.0,0.33497610356659696,0.0,0.39077690950599847,0.0
3.0,0.32585472985746383,0.0,0.3771518706370557,0.0
4.0,0.3210153630271964,0.0,0.3716227638721409,0.0
5.0,0.3189449412065289,0.0,0.3696870288031366,0.0
6.0,0.3185101326419762,0.0,0.3694335021993779,0.0
7.0,0.31892178230200235,0.0,0.3699697770181114,0.0
8.0,0.31971672752408675,0.0,0.3708591987249428,0.0
9.0,0.3206519305692997,0.0,0.37188320200713576,0.0
10.0,0.3216079786608219,0.0,0.3729311742077019,0.0
11.0,0.32252910108056926,0.0,0.3739476021740392,0.0
12.0,0.323391277148851,0.0,0.37490602280072366,0.0
13.0,0.3241861767576186,0.0,0.37579556921349166,0.0
14.0,0.32491315503240853,0.0,0.37661373698713,0.0
15.0,0.3255752293381246,0.0,0.3773624039992535,0.0
16.0,0.3261770299245786,0.0,0.378045616665572,0.0
17.0,0.32672374564000667,0.0,0.37866835680679994,0.0
18.0,0.327220583315427,0.0,0.3792358615946104,0.0
19.0,0.3276724986313122,0.0,0.3797532586849159,0.0
20.0,0.32808407306433457,0.0,0.38022538149053253,0.0
21.0,0.32845947000360953,0.0,0.38065668677995546,0.0
22.0,0.3288024333685574,0.0,0.38105122946316766,0.0
23.0,0.32911630822097104,0.0,0.3814126684048651,0.0
24.0,0.3294040717817882,0.0,0.381744288192377,0.0
25.0,0.329668368303879,0.0,0.3820490282605695,0.0
