aperture,mean_ssi,std_ssi,mean_nrmse_p3,std_nrmse_p3
1.0,0.9298827201863356,0.0,0.32636098806368696,0.0
2.0,0.9357775242174277,0.0,0.30170849955553636,0.0
3.0,0.9390224295448165,0.0,0.2914018354931638,0.0
4.0,0.9416208824347453,0.0,0.28645560033183765,0.0
5.0,0.9436280547357763,0.0,0.28440817428340887,0.0
6.0,0.9450512160173665,0.0,0.2839717483593209,0.0
7.0,0.9459926397862568,0.0,0.28437789655281814,0.0
8.0,0.9465803220913677,0.0,0.28518259720214034,0.0
9.0,0.9469240727618319,0.0,0.2861444834409458,0.0
10.0,0.9471052415341963,0.0,0.2871383727899819,0.0
11.0,0.9471803301925314,0.0,0.2881021450671447,0.0
12.0,0.9471874479742439,0.0,0.28900725530609833,0.0
13.0,0.947151949812501,0.0,0.28984278754461196,0.0
14.0,0.9470905883883171,0.0,0.2906068838594862,0.0
15.0,0.9470143806957845,0.0,0.2913021661697914,0.0
16.0,0.9469305343483189,0.0,0.2919333056905048,0.0
17.0,0.9468437281049574,0.0,0.2925057418768825,0.0
18.0,0.9467569605101896,0.0,0.29302501710715234,0.0
19.0,0.9466721127908008,0.0,0.29349644279246834,0.0
20.0,0.9465903232594242,0.0,0.29392494465555635,0.0
21.0,0.9465122372375387,0.0,0.2943150047193115,0.0
22.0,0.9464381744883147,0.0,0.29467065478287197,0.0
23.0,0.9463682417427649,0.0,0.29499549632577654,0.0
24.0,0.9463024084890043,0.0,0.2952927328932159,0.0
25.0,0.9462405580621839,0.0,0.29556520723351126,0.0
