threshold_percent,mean_ssi_conceptor_singular_threshold,std_ssi_conceptor_singular_threshold,mean_ssi_correlation_eigenvalue_threshold,std_ssi_correlation_eigenvalue_threshold,mean_nrmse_conceptor_singular_threshold,std_nrmse_conceptor_singular_threshold,mean_nrmse_correlation_eigenvalue_threshold,std_nrmse_correlation_eigenvalue_threshold,mean_ssi_c_noisy,std_ssi_c_noisy,mean_nrmse_c_noisy,std_nrmse_c_noisy,mean_ssi_ctc,std_ssi_ctc,mean_nrmse_ctc,std_nrmse_ctc
0.0,0.9206742848072306,0.0,0.9206743158058525,0.0,0.3074164311377787,0.0,0.30741643113777906,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
5.0,0.9206743627832799,0.0,0.9367007068823859,0.0,0.3074164311377787,0.0,0.34987694033647737,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
10.0,0.9206746334163297,0.0,0.9367007068823862,0.0,0.3074164311377787,0.0,0.34987694033647737,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
15.0,0.9206744719368718,0.0,0.9367007068823842,0.0,0.3074164311377787,0.0,0.34987694033647737,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
20.0,0.9206742353333434,0.0,0.9367007068823906,0.0,0.3074164311377787,0.0,0.34987694033647737,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
25.0,0.9206742677015258,0.0,0.9367007068823908,0.0,0.3074164311377787,0.0,0.34987694033647737,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
30.0,0.9206742522461037,0.0,0.7696212791474276,0.0,0.3074164311377787,0.0,0.7954735204598464,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
35.0,0.9206744273414511,0.0,0.7697996456358477,0.0,0.3074164311377787,0.0,0.7954735204598464,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
40.0,0.9206745724171969,0.0,0.7695580153711993,0.0,0.3074164311377787,0.0,0.7954735204598464,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
45.0,0.9206741497492382,0.0,0.7692332247130422,0.0,0.3074164311377787,0.0,0.7954735204598464,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
50.0,0.9206742889611655,0.0,0.6420980047533238,0.0,0.3074164311377787,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
55.0,0.9206743038325232,0.0,0.6442607944037898,0.0,0.3074164311377787,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
60.0,0.9206746586239479,0.0,0.657465326334684,0.0,0.3074164311377787,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
65.0,0.9206739498024219,0.0,0.6428302930936352,0.0,0.3074164311377787,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
70.0,0.9205323082814437,0.0,0.6562223952998282,0.0,0.3072842294991296,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
75.0,0.9222022009762535,0.0,0.6422783239857899,0.0,0.3054650112863544,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
80.0,0.9308447919595947,0.0,0.6434715805143838,0.0,0.30346218251636375,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
85.0,0.9298912578808881,0.0,0.6426333001249586,0.0,0.3036871834931253,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
90.0,0.9235063109354661,0.0,0.642255027369352,0.0,0.3043609540748705,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
95.0,0.9221829249948391,0.0,0.6434748375039462,0.0,0.3375391317970222,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
100.0,0.5774984618246245,0.0,0.6442660974311653,0.0,0.9857044264903886,0.0,0.985704426490396,0.0,0.9206743225193309,0.0,0.3074164311377787,0.0,0.9436280547357977,0.0,0.28440817428340887,0.0
