noise_percent,mean_kept_magnitude,std_kept_magnitude,mean_removed_magnitude,std_removed_magnitude
0.0,96.92537081861992,0.0,0.0,0.0
5.0,96.37585713863982,0.0,0.02410461388170807,0.0
10.0,94.93776529145518,0.0,0.1299528545284749,0.0
15.0,92.64349889906521,0.0,0.36589606611755293,0.0
20.0,90.03828907793361,0.0,0.5948564083634933,0.0
25.0,87.09215198513937,0.0,0.9375000965966936,0.0
30.0,83.72806562359196,0.0,1.442057840969038,0.0
35.0,80.52234036025047,0.0,1.9724221188498887,0.0
40.0,77.14947044201261,0.0,2.6089991260156657,0.0
45.0,74.33632825440355,0.0,3.147403279949502,0.0
50.0,71.52043402906891,0.0,3.817013673653298,0.0
55.0,68.49859406567148,0.0,4.6694846341713365,0.0
60.0,66.10081862699028,0.0,5.122336778085848,0.0
65.0,63.35251641388737,0.0,6.157530917232569,0.0
70.0,61.36712796067881,0.0,6.572060253670714,0.0
75.0,59.19088049252957,0.0,7.659017009181177,0.0
80.0,57.54281422893877,0.0,8.629470298288116,0.0
85.0,56.21896712347664,0.0,9.460115897918794,0.0
90.0,53.935440200275536,0.0,10.20535966379289,0.0
95.0,52.5338036078923,0.0,11.727542983965181,0.0
100.0,51.87098694086262,0.0,12.450688649414738,0.0
