noise_percent,mean_wout_abs_squared_no_c,std_wout_abs_squared_no_c,mean_wout_abs_squared_c_noisy,std_wout_abs_squared_c_noisy,mean_wout_abs_squared_c_ctc,std_wout_abs_squared_c_ctc,mean_bout_abs_squared_no_c,std_bout_abs_squared_no_c,mean_bout_abs_squared_c_noisy,std_bout_abs_squared_c_noisy,mean_bout_abs_squared_c_ctc,std_bout_abs_squared_c_ctc,mean_wout_std_no_c,std_wout_std_no_c,mean_wout_std_c_noisy,std_wout_std_c_noisy,mean_wout_std_c_ctc,std_wout_std_c_ctc
0.0,0.016137105098098643,0.0,0.044409086096338285,0.0,0.04440908609634132,0.0,1.0207138962041955,0.0,10.363106046567577,0.0,10.363106046560498,0.0,0.12564152152212046,0.0,0.21013884575478015,0.0,0.2101388457547882,0.0
5.0,0.010762786361819982,0.0,0.037437332485664436,0.0,0.036630281554454615,0.0,0.2901435744158867,0.0,2.9576647401765035,0.0,3.340966620915089,0.0,0.10281631553380477,0.0,0.19298361244975687,0.0,0.19076694297689248,0.0
10.0,0.007166239437042494,0.0,0.03120208736108756,0.0,0.02708197017935933,0.0,0.07870803893119456,0.0,0.4228919211996167,0.0,0.728109171787942,0.0,0.08417294319294419,0.0,0.1763883164073083,0.0,0.16404846802393608,0.0
15.0,0.004909332188160513,0.0,0.020880246807931747,0.0,0.022658541506434853,0.0,0.024755086318785806,0.0,0.0956617051961398,0.0,0.1960991290958453,0.0,0.0698028019595175,0.0,0.14425368690473223,0.0,0.14999279493056275,0.0
20.0,0.0035178326242793225,0.0,0.012042894408631514,0.0,0.01822644357723777,0.0,0.010980184097403629,0.0,0.02457596933919723,0.0,0.056441097496146675,0.0,0.05914660352719673,0.0,0.10959723681119568,0.0,0.13444511694197944,0.0
25.0,0.0026318985087712197,0.0,0.007153360021605644,0.0,0.014060761428563918,0.0,0.006954252176057863,0.0,0.005189618854442469,0.0,0.016281517363131284,0.0,0.0511815415251954,0.0,0.08449778278433782,0.0,0.11809685406498284,0.0
30.0,0.002053106332236462,0.0,0.004566139455820619,0.0,0.011476227804531607,0.0,0.00514027482110378,0.0,0.0007749180469808225,0.0,0.005209902762976079,0.0,0.04521323122629937,0.0,0.067516992889634,0.0,0.10670653441328387,0.0
35.0,0.0016728317355136457,0.0,0.0031223320123348075,0.0,0.0097062695188567,0.0,0.0038838851284680176,0.0,0.00013766392776801394,0.0,0.00228668737606564,0.0,0.04081734879974222,0.0,0.05582772517341453,0.0,0.09817568801589492,0.0
40.0,0.001424423484914428,0.0,0.0022803745912221307,0.0,0.007871426309823217,0.0,0.0028341805413364283,0.0,0.00013515029153248856,0.0,0.0014564095714461082,0.0,0.03767304527980033,0.0,0.0477035373575206,0.0,0.08852825393199977,0.0
45.0,0.0012599561462951895,0.0,0.0017767007455509961,0.0,0.0066491436629597025,0.0,0.0019023133652138384,0.0,0.00028475647308300934,0.0,0.001180647503734841,0.0,0.035442198499761504,0.0,0.04210186822442022,0.0,0.08146999801107518,0.0
50.0,0.0011463519227259702,0.0,0.0014690382000938842,0.0,0.006193764131351951,0.0,0.001095311520594845,0.0,0.0004538879716317277,0.0,0.0011686149568654826,0.0,0.03381731397199853,0.0,0.03828259527518621,0.0,0.07865897530619259,0.0
55.0,0.0010631320876623026,0.0,0.0012746472067287635,0.0,0.004479614085132404,0.0,0.00047021892461353624,0.0,0.0004965651495994348,0.0,0.001112566866539974,0.0,0.03257526181905754,0.0,0.03566293590963051,0.0,0.06688618856738912,0.0
60.0,0.0009982832037717087,0.0,0.0011445258743844717,0.0,0.0025945198171124185,0.0,9.018621165256758e-05,0.0,0.00035869929638537905,0.0,0.0008622505333495176,0.0,0.03157226377481558,0.0,0.03379835146904654,0.0,0.050935392123721085,0.0
